19,110011001000001111
20,11110000001001110
21,01001110100101
22,010011101000
23,110011001001
24,10101111101
25,0100111011
26,010011100
27,100010101
28,00111000
29,10100010
30,11111011
31,0101100
32,1001001
33,1110011
34,000010
35,000101
36,000110
37,001001
38,000000
39,1111001
40,1100010
41,1011100
42,0111011
43,0100101
44,0010100
45,11111111
46,11100000
47,10110100
48,10001011
49,01011110
50,01110100
51,01100110
52,01010011
53,01001111
54,01001001
55,01000011
56,01110101
57,01011111
58,01100111
59,01111000
60,10001001
61,01111001
62,10000000
63,10011101
64,01111010
65,01111011
66,10010100
67,10100110
68,10001101
69,10110101
70,11001101
71,10111011
72,11100001
73,11101011
74,11101110
75,11111000
76,11111110
77,0011001
78,0100011
79,0101101
80,1000001
81,1001111
82,1010100
83,1010110
84,1000010
85,0110111
86,0101000
87,0100000
88,0011000
89,0010001
90,11111010
91,11111001
92,11110111
93,0000011
94,0000111
95,0000110
96,0001001
97,0001111
98,0010110
99,0100010
100,0011110
101,0100110
102,0101010
103,0110000
104,0110001
105,0111111
106,1011001
107,1101010
108,1110001
109,1110110
110,1110010
111,1101001
112,1011011
113,1001000
114,0110101
115,0110110
116,0101110
117,0111001
118,0111110
119,1000111
120,1100001
121,1100101
122,1100111
123,1101101
124,1101000
125,1101110
126,1100000
127,1010010
128,1001101
129,1001011
130,1010000
131,1011110
132,1100100
133,1101011
134,1110100
135,1101111
136,1100011
137,1010101
138,1000011
139,0110100
140,0101011
141,0011011
142,0001110
143,11111101
144,11110100
145,11011000
146,10101110
147,10111111
148,10110000
149,10001000
150,10011000
151,10000001
152,10001100
153,10111110
154,10011001
155,10100111
156,10011100
157,10010101
158,01110000
159,01110001
160,01100100
161,01010010
162,00111110
163,00000101
164,111100001
165,110110010
166,101110101
167,101011110
168,101110100
169,101000110
170,101100011
171,011001011
172,110011000
173,101000111
174,111010100
175,111101010
176,00000100
177,111111001
178,00010000
179,00101110
180,00111010
181,00010001
182,00100000
183,00111001
184,00110101
185,00100001
186,111011110
187,111100011
188,111101100
189,111100010
190,111010101
191,111011111
192,111111000
193,111101101
194,00111011
195,01000010
196,01001000
197,00110100
198,00111111
199,00101010
200,00101111
201,111101011
202,110110011
203,101100010
204,011001010
205,001010111
206,1111000001
207,1100110011
208,1010111111
209,1000101001
210,1000101000
211,0010101101
212,0010101100
213,11001100101
214,11110000000
215,01001110101
216,111100000011
217,101011111001
218,101011111000
219,0100111010011
220,1111000000101
221,1100110010001
222,11001100100001
223,11110000001000
224,01001110100100
225,111100000010010
226,1111000000100110
227,11110000001001111
228,110011001000000
229,110011001000001110
231,110011001000001101
234,110011001000001100
240,110011001000001011
242,11001100100000100
244,110011001000001010
